"CODIGO","NOME","EMBALAGEM","TAMANHO","SABOR","PRECO_LISTA"
"1",ADE,PET,"2 L",OUTRO,33.2
"10",SUCO DE AMÊIJOA,LATA,"1.9 L",LIMA E HORTELÃ,44.0
"11",SUCO DE CRANBERRY,GARRAFA,"1.6 L",AMORA,28.7
"12",ÁGUA DE COCO,LATA,"1.9 L",UVA,28.6
"13",SUCO DE PEPINO,GARRAFA,"1.5 L",UVA,16.5
"14",SUCO DE TARAXACUM,PET,"1.6 L","MARACUJÁ, LARANJA E GOIABA",48.2
"15",SUCO DE UVA,PET,"1.2 L",CENOURA,45.3
"16",SUCO DE TORANJA,PET,"1.9 L",ABACAXI,12.9
"17",SUCO DE GOIABA,LATA,"1.7 L",AGRIÃO,49.9
"18",SUCO DE MELÃO VERDE,GARRAFA,"0.9 L",AIPO,43.4
"19",IZZE,PET,"1.6 L",ALOE VERA,34.4
"2",SUCO DE ALOE VERA,PET,"1.6 L",VÁRIOS,49.0
"20",SUCO DE COMBAVA,PET,"1.6 L",AMÊIJOA,14.2
"21",SUCO DE KIWI,GARRAFA,"1.5 L",AMEIXA SECA,13.0
"22",LIMONADA,PET,"1.7 L",ARANDO-VERMELHO,22.3
"23",SUCO DE LIMÃO,GARRAFA,"1.5 L",BETERRABA,44.7
"24",LIMONADA DE LIMA,LATA,"1.6 L",CENOURA,10.0
"25",LIMONANA,LATA,"1.2 L",CEREJA,7.4
"26",SUCO DE ARANDO-VERMELHO,PET,"1.9 L",COMBAVA,15.8
"27",SUCO DE LICHIA,LATA,"1.9 L",CRANBERRY,43.1
"28",SUCO DE MANGA,GARRAFA,"1.4 L",ESPINAFRE,18.7
"29",SUCO DE MELÃO,LATA,"1.2 L",GOIABA,28.9
"3",SUCO DE MAÇÃ,PET,"1.6 L",COCO VERDE,14.4
"30",MORA,LATA,"2 L",GRAMA DE TRIGO,5.7
"31",MOSTO,PET,"0.9 L",KIWI,40.3
"32",SUCO DE LARANJA,PET,"1.3 L",LARANJA,8.1
"33",OTAI,GARRAFA,"0.8 L",LEGUMES,46.9
"34",SUCO DE MAMÃO,LATA,"1.5 L",LICHIA,41.0
"35",SUCO DE SALSA,LATA,"0.5 L",LIMA,12.7
"36",PETIMEZI,LATA,"1.6 L",LIMÃO,47.9
"37",SUCO DE ABACAXI,LATA,"1.7 L",MAÇÃ,37.2
"38",POG,GARRAFA,"0.8 L",MAMÃO,41.4
"39",SUCO DE ROMÃ,GARRAFA,"0.8 L",MANGA,11.7
"4",SUCO DE BETERRABA,LATA,"1.7 L",CANA-DE-AÇÚCAR,43.2
"40",SUCO DE AMEIXA SECA,GARRAFA,"1.8 L",MELÃO,15.5
"41",VINAGRE DE FRAMBOESA,GARRAFA,"1.7 L",MELÃO VERDE,13.5
"42",SUCO DE LIMA ROSE'S,PET,"1.9 L",MELOA,41.6
"43",ŞALGAM,PET,"1.4 L",MORANGO,14.2
"44",SUCO DE ESPINAFRE,PET,"1.7 L",NABO,24.8
"45",SUCO DE MORANGO,PET,"1.1 L",PEPINO,12.7
"46",CALDO DE CANA,GARRAFA,"1.2 L",ROMÃ,44.8
"47",TEJUINO,GARRAFA,"0.6 L",SALSA,12.5
"48",SUCO DE TOMATE,GARRAFA,"1.8 L",TARAXACUM,24.2
"49",SUCO DE NABO,GARRAFA,"1.5 L",TOMATE,9.3
"5",SUCO DE MELOA,GARRAFA,"1.7 L",MELÃO DE INVERNO,40.5
"50",SUCO DE LEGUMES,PET,"0.8 L",TORANJA,23.0
"51",SUCO DE AGRIÃO,GARRAFA,"1.2 L",UVA,31.4
"52",SUCO DE GRAMA DE TRIGO,PET,"1.9 L",MILHO FERMENTADO,48.5
"53",CHÁ DE MELÃO DE INVERNO,LATA,"1.8 L",FRAMBOESA,30.8
"6",SUCO DE CENOURA,PET,"0.9 L",LIMA,21.7
"7",SUCO DE AIPO,LATA,"1.8 L",VÁRIOS SABORES CARBONATADOS,10.4
"8",CHANH MUỐI,GARRAFA,"0.7 L",LIMÃO,47.0
"9",SUCO DE CEREJA,PET,"1.3 L",LIMA,23.0
